9.3461,381.88
9.2767,382.83
9.2077,383.78
9.1392,384.73
9.0711,385.69
9.0034,386.64
8.9361,387.59
8.8693,388.54
8.8029,389.49
8.7368,390.44
8.6712,391.39
8.6059,392.34
8.5411,393.29
8.4766,394.24
8.4126,395.2
8.3489,396.15
8.2856,397.1
8.2227,398.05
8.1601,399
8.0979,399.95
8.0361,400.9
7.9746,401.85
7.9135,402.8
7.8528,403.75
7.7924,404.7
7.7323,405.66
7.6726,406.61
7.6133,407.56
7.5543,408.51
7.4956,409.46
7.4373,410.41
7.3793,411.36
7.3216,412.31
7.2642,413.26
7.2072,414.21
7.1505,415.17
7.0941,416.12
7.038,417.07
6.9822,418.02
6.9268,418.97
6.8716,419.92
6.8168,420.87
6.7622,421.82
6.708,422.77
6.654,423.72
6.6003,424.67
6.547,425.63
6.4939,426.58
6.4411,427.53
6.3886,428.48
6.3364,429.43
6.2844,430.38
6.2327,431.33
6.1813,432.28
6.1302,433.23
6.0794,434.18
6.0288,435.14
5.9784,436.09
5.9284,437.04
5.8786,437.99
5.8291,438.94
5.7798,439.89
5.7308,440.84
5.682,441.79
5.6335,442.74
5.5852,443.69
5.5372,444.64
5.4894,445.6
5.4419,446.55
5.3946,447.5
5.3475,448.45
5.3007,449.4
5.2541,450.35
5.2078,451.3
5.1617,452.25
5.1158,453.2
5.0701,454.15
5.0247,455.11
4.9795,456.06
4.9345,457.01
4.8898,457.96
4.8452,458.91
4.8009,459.86
4.7568,460.81
4.7129,461.76
4.6692,462.71
4.6258,463.66
4.5825,464.61
4.5395,465.57
4.4966,466.52
4.454,467.47
4.4116,468.42
4.3693,469.37
4.3273,470.32
4.2855,471.27
4.2439,472.22
4.2024,473.17
4.1612,474.12
4.1202,475.08
4.0793,476.03
4.0386,476.98
3.9982,477.93
3.9579,478.88
3.9178,479.83
3.8779,480.78
3.8382,481.73
3.7986,482.68
3.7593,483.63
3.7201,484.58
3.6811,485.54
3.6423,486.49
3.6036,487.44
3.5651,488.39
3.5268,489.34
3.4887,490.29
3.4508,491.24
3.413,492.19
3.3754,493.14
3.3379,494.09
3.3006,495.05
3.2635,496
3.2266,496.95
3.1898,497.9
3.1531,498.85
3.1167,499.8
3.0804,500.75
3.0442,501.7
3.0083,502.65
2.9724,503.6
2.9367,504.55
2.9012,505.51
