tsec,V,c,ce,X
0,-47.4397440334409,0.042896908631945,10,4.9697312606e-05
0.000380343398959853,-47.3831550392852,0.0428003174523858,10.0024067022823,4.96972230954583e-05
0.000760686797919707,-47.3140309416037,0.0427037472326171,10.0048137819396,4.96971314719323e-05
0.00114103019687956,-47.2290933676274,0.0426072000415391,10.0072212008807,4.96970381241385e-05
0.00191397922525769,-46.9916645885674,0.0424110623917648,10.0121143720141,4.96968446381637e-05
0.00268692825363582,-46.6018581118004,0.0422150348613678,10.0170083453042,4.96966462162891e-05
0.00316546282995942,-46.2252834529963,0.0420937352319733,10.0200384982814,4.96965210491492e-05
0.00356331705476969,-45.7466104307719,0.0419929264160003,10.0225578475021,4.9696415686704e-05
0.00386788113933589,-45.1785415842058,0.041915781596564,10.0244864628718,4.96963342359148e-05
0.00408913041710259,-44.5399872022852,0.0418597551730185,10.0258874880458,4.96962746337618e-05
0.00425664890399155,-43.7826352138946,0.0418173443226209,10.0269482598733,4.96962292636817e-05
0.00436678161450518,-43.0097914805164,0.0417894676024954,10.0276456419735,4.9696199321948e-05
0.00444773140344331,-42.1429034742142,0.0417689827524987,10.0281582273267,4.9696177256642e-05
0.00450496728050398,-41.2213497799699,0.0417545054618035,10.0285206501917,4.96961616259017e-05
0.004546931961794,-40.2223305280598,0.0417439026837878,10.0287863729041,4.96961501502014e-05
0.0045784772525766,-39.1301208892719,0.0417359583970819,10.0289861185481,4.96961415152664e-05
0.00460347755198216,-37.8899386432891,0.0417297336869483,10.0291444205365,4.96961346668265e-05
0.00462382349920246,-36.4742993737774,0.0417249044286062,10.029273250701,4.96961290903932e-05
0.00464416944642276,-34.4914242890989,0.0417216691752039,10.0294020801214,4.96961235133788e-05
0.00466451539364307,-31.7897461037635,0.0417335177507453,10.0295309057529,4.96961179548801e-05
0.00468486134086337,-28.4189369042634,0.0418257662778234,10.0296597099788,4.96961125205343e-05
0.00470051939963441,-25.5071914441804,0.0419751049324207,10.0297588020952,4.9696108526352e-05
0.00471617745840545,-22.4868472166758,0.0421714302043508,10.0298578404568,4.96961047940325e-05
0.00473183551717649,-19.4698985402224,0.0423855888208307,10.029956806929,4.9696101368972e-05
0.00474749357594753,-16.5228091859328,0.0426017152207385,10.0300556876325,4.96960982636991e-05
0.00476361258782722,-13.5963768239317,0.0428200309843022,10.0301573792562,4.96960953969547e-05
0.0047797315997069,-10.7949062078254,0.0430327084031977,10.0302589600271,4.96960928511932e-05
0.00479585061158659,-8.12338620071384,0.043240060289258,10.030360421432,4.96960906104207e-05
0.00481196962346627,-5.58166648636269,0.0434425098048773,10.030461755757,4.96960886601461e-05
0.00482808863534596,-3.16835582168453,0.0436402846197043,10.030562955801,4.96960869875017e-05
0.00486295245147256,1.62310774064382,0.0440529152153104,10.0307813523215,4.96960842639512e-05
0.00489781626759916,5.84805776111109,0.0444467128552865,10.0309990302646,4.96960826699249e-05
0.00493268008372576,9.53335352912422,0.0448239437398396,10.0312159357346,4.96960821032446e-05
0.00496754389985236,12.7065365520136,0.0451868351942093,10.0314320204606,4.96960824746084e-05
0.00500240771597896,15.3958152198287,0.0455374943383094,10.0316472395624,4.96960837066104e-05
0.00505405557346653,18.5543556214729,0.0460386448453965,10.0319643848409,4.96960869725923e-05
0.00510570343095409,20.8220682899737,0.0465230865950834,10.0322793945884,4.96960918031758e-05
0.00515735128844166,22.3141757951212,0.0469959848953718,10.0325921229364,4.96960980602128e-05
0.00520899914592923,23.1503411241403,0.0474617940350905,10.0329024121122,4.96961056389654e-05
0.0052606470034168,23.4462372202325,0.0479242419239345,10.0332100886863,4.96961144623358e-05
0.00531229486090437,23.3061077906533,0.0483863596840583,10.0335149613956,4.96961244759032e-05
0.00538439757253517,22.5482580031767,0.0490354731886255,10.0339354852595,4.96961403784975e-05
0.00545650028416596,21.3106393933612,0.0496935962133377,10.0343494926013,4.96961584766472e-05
0.00552860299579675,19.7381160248827,0.0503641835090464,10.034756265838,4.96961787531829e-05
0.00560070570742754,17.9341162227991,0.0510496249866928,10.0351550062954,4.96962012144619e-05
0.00567280841905833,15.9747146183654,0.0517515911856402,10.035544832889,4.96962258826383e-05
0.00574491113068912,13.9180248545337,0.0524712311735035,10.035924779806,4.96962527908855e-05
0.00583795026881658,11.1898158485974,0.0534270823819643,10.036398732747,4.96962908876566e-05
0.00593098940694403,8.43540110753307,0.0544142566086648,10.0368519830298,4.96963328761122e-05
0.00602402854507149,5.69634342560749,0.0554328623394788,10.0372817828219,4.96963788533329e-05
0.00611706768319894,3.00151463314786,0.0564826579648979,10.0376851154069,4.9696428913242e-05
0.0062101068213264,0.372687319895928,0.0575631833063047,10.0380586841619,4.96964831450164e-05
0.00630314595945385,-2.1757239275331,0.0586737494925117,10.0383988981387,4.96965416322918e-05
0.00641584244378318,-5.14179565982019,0.0600579829504177,10.0387607128897,4.96966182858167e-05
0.00652853892811251,-7.96559418076773,0.0614834194714805,10.0390603132408,4.9696701418726e-05
0.00664123541244183,-10.6391773452322,0.0629483190569701,10.0392894558759,4.96967911387872e-05
0.00675393189677116,-13.1570253330831,0.064450749386743,10.0394391694894,4.96968875387383e-05
0.00686662838110049,-15.5167330152181,0.0659882686675814,10.039499746846,4.96969906945872e-05
0.00697932486542982,-17.7189141083059,0.0675571357607018,10.0394607880117,4.96971006581335e-05
0.00717874854153756,-21.2410009784891,0.0703815140473019,10.0391148099809,4.96973118361356e-05
0.0073781722176453,-24.3175839658548,0.0731543652072357,10.0383683563453,4.96975430741668e-05
