   1.0000000e-01   5.3182510e-01   1.6261152e-01   8.3878801e-01   2.8284928e-01   1.5771877e+00   1.7394172e+00
   1.4949495e-01   5.7922180e-01   2.3135689e-01   8.6340912e-01   3.8299299e-01   1.4906364e+00   1.6554207e+00
   1.9898990e-01   6.1189857e-01   2.9308363e-01   8.6668317e-01   4.6174752e-01   1.4163837e+00   1.5754804e+00
   2.4848485e-01   6.3507563e-01   3.4830929e-01   8.5797744e-01   5.2225509e-01   1.3509847e+00   1.4994004e+00
   2.9797980e-01   6.5151670e-01   3.9751780e-01   8.4180607e-01   5.6725564e-01   1.2920714e+00   1.4269943e+00
   3.4747475e-01   6.6290845e-01   4.4116152e-01   8.2072644e-01   5.9913471e-01   1.2380690e+00   1.3580847e+00
   3.9696970e-01   6.7037266e-01   4.7966315e-01   7.9634216e-01   6.1996593e-01   1.1879097e+00   1.2925027e+00
   4.4646465e-01   6.7470230e-01   5.1341752e-01   7.6973111e-01   6.3154860e-01   1.1408455e+00   1.2300877e+00
   4.9595960e-01   6.7648102e-01   5.4279336e-01   7.4165539e-01   6.3544100e-01   1.0963432e+00   1.1706868e+00
   5.4545455e-01   6.7615370e-01   5.6813483e-01   7.1267429e-01   6.3298983e-01   1.0540123e+00   1.1141543e+00
   5.9494949e-01   6.7406791e-01   5.8976306e-01   6.8320906e-01   6.2535626e-01   1.0135612e+00   1.0603517e+00
   6.4444444e-01   6.7050152e-01   6.0797758e-01   6.5358460e-01   6.1353892e-01   9.7476974e-01   1.0091473e+00
   6.9393939e-01   6.6568021e-01   6.2305766e-01   6.2405502e-01   5.9839425e-01   9.3746968e-01   9.6041552e-01
   7.4343434e-01   6.5979025e-01   6.3526354e-01   5.9482079e-01   5.8065440e-01   9.0153013e-01   9.1403702e-01
   7.9292929e-01   6.5298828e-01   6.4483766e-01   5.6604109e-01   5.6094308e-01   8.6684725e-01   8.6989814e-01
   8.4242424e-01   6.4540553e-01   6.5200571e-01   5.3784525e-01   5.3978949e-01   8.3334465e-01   8.2789073e-01
   8.9191919e-01   6.3715466e-01   6.5697777e-01   5.1032555e-01   5.1764057e-01   8.0094455e-01   7.8791186e-01
   9.4141414e-01   6.2833283e-01   6.5994918e-01   4.8356854e-01   4.9487185e-01   7.6960571e-01   7.4986357e-01
   9.9090909e-01   6.1902374e-01   6.6110160e-01   4.5763271e-01   4.7179690e-01   7.3928135e-01   7.1365263e-01
   1.0404040e+00   6.0930155e-01   6.6060376e-01   4.3256385e-01   4.4867568e-01   7.0993393e-01   6.7919032e-01
   1.0898990e+00   5.9923056e-01   6.5861236e-01   4.0839551e-01   4.2572189e-01   6.8153318e-01   6.4639219e-01
   1.1393939e+00   5.8886775e-01   6.5527281e-01   3.8515033e-01   4.0310935e-01   6.5405233e-01   6.1517789e-01
   1.1888889e+00   5.7826371e-01   6.5071996e-01   3.6284189e-01   3.8097762e-01   6.2746785e-01   5.8547093e-01
   1.2383838e+00   5.6746332e-01   6.4507878e-01   3.4147603e-01   3.5943694e-01   6.0175876e-01   5.5719852e-01
   1.2878788e+00   5.5650758e-01   6.3846499e-01   3.2105175e-01   3.3857248e-01   5.7690455e-01   5.3029138e-01
   1.3373737e+00   5.4543157e-01   6.3098568e-01   3.0156254e-01   3.1844812e-01   5.5288795e-01   5.0468359e-01
   1.3868687e+00   5.3426806e-01   6.2273987e-01   2.8299698e-01   2.9910968e-01   5.2969099e-01   4.8031240e-01
   1.4363636e+00   5.2304621e-01   6.1381903e-01   2.6533957e-01   2.8058779e-01   5.0729660e-01   4.5711810e-01
   1.4858586e+00   5.1179231e-01   6.0430758e-01   2.4857136e-01   2.6290030e-01   4.8568795e-01   4.3504385e-01
   1.5353535e+00   5.0053006e-01   5.9428336e-01   2.3267067e-01   2.4605445e-01   4.6484854e-01   4.1403557e-01
   1.5848485e+00   4.8928093e-01   5.8381808e-01   2.1761151e-01   2.3004872e-01   4.4475780e-01   3.9404178e-01
   1.6343434e+00   4.7806428e-01   5.7297772e-01   2.0337337e-01   2.1487437e-01   4.2541009e-01   3.7501349e-01
   1.6838384e+00   4.6689764e-01   5.6182289e-01   1.8992341e-01   2.0051688e-01   4.0677741e-01   3.5690407e-01
